ID,Ex_Sample,Ex_Cross,Consent,Sex,SexPref,Age,Country_Res,Country_Born,HPP_9,GDP,GINI,SexRatio.2017est.,SexRatio.15.54.,UNRegion,RelStatus,RelLength,RelY,RelM,Ethnicity,SRA,SRM,SRH,SRA_Partner,SRM_Partner,SRH_Partner,Kiss_Imp_Initial,Kiss_Imp_Est,Kiss_Freq,Hug_Freq,Sex_Freq,Kiss_Satis,Hug_Satis,Sex_Satis,GK_Breath,GK_Scent,GK_Taste,GK_Wet,GK_Contact,GK_Arous,GK_SynchStyle
6386533568,0,1,1,2,1,25,Alemania,Chile,NA,NA,NA,NA,NA,NA,1,3.92,3,11,Chilena,5,3,5,7,6,5,100,80,97,100,59,87,80,44,74,84,97,83,87,77,40
6192428788,0,1,1,2,1,30,Allemagne,France,NA,NA,NA,NA,NA,NA,1,10,10,NA,Francaise,6,2,4,6,4,4,100,100,100,100,74,100,100,68,100,100,100,66,100,100,36
6089268910,0,1,1,2,1,21,America,New Zealand,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,Caucasian,5,3,5,5,3,6,90,100,75,40,100,100,100,68,100,80,57,100,73,100,100
6411486671,0,1,1,2,1,32,Argentina,Chile,NA,NA,NA,NA,NA,NA,1,3.58,3,7,Chilena,7,1,7,7,7,6,90,90,90,100,70,80,80,70,100,100,2,85,85,100,80
6104706475,0,1,1,2,1,20,Argentina,Colombia,NA,NA,NA,NA,NA,NA,1,2,2,NA,,1,3,1,2,3,1,50,100,100,100,100,100,100,83,100,100,81,100,100,67,100
6550809117,0,0,1,2,1,31,Australia,Australia,-0.25,49900,30.3,1.01,1.045,5,1,5.92,5,11,Caucasian,5,2,2,5,5,3,79,91,81,98,31,91,91,73,99,99,97,74,65,75,82
6523364476,0,0,1,1,2,28,Australia,Australia,-0.25,49900,30.3,1.01,1.045,5,1,4.58,4,7,white,5,4,4,6,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6434867455,0,0,1,1,2,31,Australia,Australia,-0.25,49900,30.3,1.01,1.045,5,1,9.17,9,2,Caucasian,5,4,4,6,1,4,100,100,52,50,54,28,29,16,100,76,74,67,58,74,49
6430313808,0,0,1,2,1,24,Australia,Australia,-0.25,49900,30.3,1.01,1.045,5,1,7.08,7,1,Caucasian,5,2,7,5,6,4,85,90,80,75,70,100,80,70,100,50,35,76,70,53,50
6379318055,0,0,1,2,1,35,Australia,Australia,-0.25,49900,30.3,1.01,1.045,5,2,NA,NA,NA,Australian,1,2,1,NA,NA,NA,81,80,8,11,49,4,5,8,50,80,23,9,80,81,72
6372501694,0,0,1,2,1,50,Australia,Australia,-0.25,49900,30.3,1.01,1.045,5,1,13.83,13,10,Caucasian,4,5,2,4,2,2,69,48,48,73,1,98,99,1,95,97,76,98,98,68,59
6371505961,0,0,1,1,1,41,Australia,Australia,-0.25,49900,30.3,1.01,1.045,5,1,3,3,NA,anglo-saxon,5,4,4,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6366313543,0,0,1,2,1,22,Australia,Australia,-0.25,49900,30.3,1.01,1.045,5,1,3.17,3,2,Chinese,4,3,3,4,5,5,30,42,39,73,1,89,87,94,70,78,70,82,36,10,55
6363993667,0,0,1,2,1,34,Australia,Australia,-0.25,49900,30.3,1.01,1.045,5,1,6.33,6,4,Australian,5,2,4,7,6,4,80,100,100,100,70,70,66,38,98,62,79,22,75,84,54
