resource_condition,gender,perceived_precariousness,position_evaluation,anticipated_acceptance,anticipated_influence
No social resources,female,4.458480013961019,3.9560849762509576,5.319099719232129,6.443207302554985
No social resources,female,5.742597101993046,3.8527033202097147,3.9062839125856,2.423545581589989
Social and financial resources,male,5.041915989135493,2.897838690991966,2.3888181612997736,2.5292188108446525
No social resources,male,6.101450723677304,2.963556486666752,4.840472060527129,4.616102562978976
No financial resources,male,6.656712415909273,2.3236360955703805,3.590451849803798,1.1652758569355672
Social and financial resources,male,4.671320459608574,3.431993709095735,3.892881128322289,5.751720365356002
No financial resources,female,5.003875005012858,2.320787564510708,4.361566254265743,2.980726470440876
No financial resources,male,5.642423416849305,4.123497068064166,5.380771846372173,1.5271149049643884
No social resources,female,5.976351986606226,4.489073381532405,4.265258457774339,3.3806946738754577
No financial resources,male,5.08877548527648,1.913025966750585,3.1789850927497856,5.001607802023488
Social and financial resources,female,3.7493824479808735,1.5273779877391649,4.449523040131431,3.5649457037222163
No social resources,female,3.9064040575586416,1.2309047729195697,3.272722759105565,6.443321315690717
Social and financial resources,female,6.40888556611449,1.456289713896797,5.967335562902458,3.930817841562684
No financial resources,female,3.8071587835129628,3.7017581835869517,4.188907513760593,1.198436116030793
No financial resources,female,5.751498203730872,5.159924107027331,2.36563933851195,3.021431335194973
No social resources,male,5.404598417114774,3.0149711154636907,5.044798975698017,4.501364287374518
No social resources,male,4.110557380338565,6.060107325778635,4.386791919704861,1.8891841143808885
No social resources,male,3.354362696509674,1.4202008059364448,2.3227511110482557,3.856682447244279
No social resources,male,6.065121334730839,2.3257110302918207,4.993746997279883,2.9650446510048702
No financial resources,female,5.973079210084721,2.917944509673501,2.368193902045709,6.272969294781641
No financial resources,male,5.871028135287069,1.0884137036407404,4.111315145807586,3.908422968182361
No financial resources,male,3.336846029393153,6.264134596574674,3.645498405973187,3.7521425441564937
Social and financial resources,male,2.948658454424854,5.900923824250983,4.4631604912046985,3.86261441219551
No financial resources,female,5.476941457845912,3.358748908839548,3.43104747942753,2.6640555055861017
No financial resources,male,5.01253722362939,2.6307176500930245,3.924728840732787,2.69143492563979
No social resources,female,5.768373792427982,5.501039367591361,3.7175571502803164,5.594435974962171
No financial resources,female,5.098481270892372,2.2821131560815986,4.74643231789465,1.343210653675511
No social resources,female,6.044163993538167,5.41787524675366,5.192253145282331,2.913730125316195
No financial resources,female,5.381022229953266,1.5612114608793914,3.919262747475426,5.148643685987286
Social and financial resources,male,4.847378377254213,2.696849977236397,1.817872926999505,6.608387335504128
Social and financial resources,male,5.660229904584132,2.0610276345701406,4.239759572792824,5.274039877425302
No financial resources,male,6.861571796917846,5.144811604595329,4.835984251957656,1.6631526046272447
No social resources,female,6.29203248865837,2.1483080995263175,3.500580433556477,5.668215848340759
No social resources,male,3.5230291427739715,3.6300914866670877,4.281899829460102,3.4760304271592624
Social and financial resources,female,5.3406712478158305,5.751183785270419,5.157174842162406,4.274538170707629
No social resources,male,2.942660720412844,4.0230527126806965,3.6496969425617714,6.758128013792083
No social resources,female,5.505825400799654,1.8055938809618002,2.6610695587565383,2.342023838496785
No social resources,male,6.235926506729383,1.75633655666043,5.815332489210927,6.857197766598802
No social resources,female,6.152265041855314,6.346807490615996,4.713462192573954,3.6410803717862503
Social and financial resources,female,4.3159338953469915,4.438026758719555,3.297348227006477,5.332328864902264
Social and financial resources,male,2.2344853381805723,5.234346339812252,3.456244534167471,4.198107335490955
Social and financial resources,male,3.346702856511115,4.22867492154822,3.979175913732217,6.244288374598721
No social resources,female,3.6290020464624697,4.479354531953023,3.4973724836509237,1.3101826110948651
No social resources,female,4.823472134942685,4.506640946877942,4.841368083881451,3.088572193884158
No financial resources,male,5.595966870089275,4.338828127180056,4.43705997556415,4.3997295743959155
Social and financial resources,male,4.219867668672422,1.6511150506304548,3.331921562513017,2.5250469621397333
No social resources,male,4.949424260990254,1.9913584448349306,3.9301658418910876,1.4663263675170768
No financial resources,male,5.508154011664305,4.0583611317763655,3.827774886839095,3.4837561852289256
No financial resources,female,2.3561183764942983,4.761030852812784,4.195103490436454,6.3866849626404
Social and financial resources,female,3.1254437840754146,2.161895061750897,4.006936466921316,6.380584101002645
No social resources,male,6.968653599721522,3.225589929964084,6.785291257241804,3.520290146026581
No financial resources,male,5.833382467303446,2.9000034886660773,3.7977494837865837,2.15724198588799
No social resources,male,5.444562589769827,4.054684329433309,2.452235758288495,3.5413984121769797
Social and financial resources,female,4.773960375231296,2.5411063502446622,3.5725407832952905,1.1713360821599692
Social and financial resources,female,6.429696356120403,2.1546822511111374,4.183810089458275,3.4813527934380173
No financial resources,male,5.601441841303278,2.9477627439250855,1.5642570458711793,3.283396048309278
No financial resources,female,6.286914549722542,5.891693227227794,5.7068875146321085,4.144635713259962
No financial resources,female,6.420318389603951,1.1733680007878127,4.352822107385201,5.037805653542533
Social and financial resources,male,6.972175659696486,2.739122005662015,2.0256230615051294,1.1819979098074218
Social and financial resources,male,4.233339535911437,2.275624916862063,4.442535098878568,5.461538215171233
Social and financial resources,female,4.847736478717833,3.8914597339898087,4.481684047451714,1.01543818485316
No social resources,male,4.74257907899737,3.6108532308374004,3.7099146752949026,3.5904914042638816
